title,location,av_sal_yr,low_sal,high_sal
Data Science Specialist salaries,United States,"$90,000 ","$37,400 ","$165,000 "
Data Science Specialist salaries,Greater New York City Area,"$110,000 ","$32,300 ","$212,000 "
Data Science Specialist salaries,San Francisco Bay Area,"$115,000 ","$43,300 ","$175,000 "
Data Science Specialist salaries,"Houston, Texas Area","$79,600 ","$41,400 ","$153,000 "
Data Science Specialist salaries,Greater Philadelphia Area,"$83,200 ","$45,200 ","$153,000 "
Data Science Specialist salaries,Greater Denver Area,"$78,400 ","$43,300 ","$142,000 "
Data Science Specialist salaries,"Phoenix, Arizona Area","$71,500 ","$39,600 ","$129,000 "
Data Science Specialist salaries,Miami/Fort Lauderdale Area,"$73,800 ","$39,400 ","$138,000 "
Data Science Specialist salaries,"Orange County, California Area","$87,300 ","$46,900 ","$163,000 "
Data Science Specialist salaries,"Portland, Oregon Area","$83,000 ","$45,500 ","$151,000 "
Data Science Specialist salaries,Greater St. Louis Area,"$71,700 ","$38,400 ","$134,000 "
Data Science Specialist salaries,"Cleveland/Akron, Ohio Area","$74,500 ","$40,600 ","$137,000 "
Data Science Specialist salaries,"Raleigh-Durham, North Carolina Area","$72,900 ","$40,200 ","$132,000 "
Data Science Specialist salaries,"Baltimore, Maryland Area","$78,300 ","$42,200 ","$146,000 "
Data Science Specialist salaries,Greater Salt Lake City Area,"$71,400 ","$38,700 ","$132,000 "
Data Science Specialist salaries,"Kansas City, Missouri Area","$76,000 ","$42,300 ","$137,000 "
Data Science Specialist salaries,Greater Pittsburgh Area,"$74,800 ","$39,700 ","$141,000 "
Data Science Specialist salaries,"Indianapolis, Indiana Area","$73,700 ","$40,900 ","$133,000 "
Data Science Specialist salaries,"Columbus, Ohio Area","$75,600 ","$41,700 ","$137,000 "
Data Science Specialist salaries,"Orlando, Florida Area","$65,600 ","$35,500 ","$121,000 "
Data Science Specialist salaries,"Cincinnati Area, KY","$75,200 ","$41,000 ","$138,000 "
Data Science Specialist salaries,Greater Milwaukee Area,"$78,900 ","$44,400 ","$140,000 "
Data Science Specialist salaries,"Greater Nashville Area, TN","$70,900 ","$38,900 ","$129,000 "
Data Science Specialist salaries,"San Antonio, Texas Area","$71,000 ","$38,400 ","$131,000 "
Data Science Specialist salaries,"Sacramento, California Area","$83,800 ","$45,400 ","$155,000 "
Data Science Specialist salaries,"Greater Grand Rapids, Michigan Area","$71,100 ","$40,000 ","$126,000 "
Data Science Specialist salaries,"Las Vegas, Nevada Area","$75,800 ","$40,400 ","$142,000 "
Data Science Specialist salaries,"Hartford, Connecticut Area","$88,800 ","$47,700 ","$166,000 "
Data Science Specialist salaries,"Jacksonville, Florida Area","$69,000 ","$37,800 ","$126,000 "
Data Science Specialist salaries,"Louisville, Kentucky Area","$73,200 ","$40,500 ","$132,000 "
Data Science Specialist salaries,"Norfolk, Virginia Area","$66,200 ","$36,200 ","$121,000 "
Data Science Specialist salaries,"Richmond, Virginia Area","$75,600 ","$40,800 ","$140,000 "
Data Science Specialist salaries,"Oklahoma City, Oklahoma Area","$68,200 ","$35,900 ","$129,000 "
Data Science Specialist salaries,Greater Omaha Area,"$73,100 ","$41,400 ","$129,000 "
Data Science Specialist salaries,"Greenville, South Carolina Area","$66,400 ","$35,000 ","$126,000 "
Data Science Specialist salaries,"Greensboro/Winston-Salem, North Carolina Area","$66,900 ","$36,300 ","$123,000 "
Data Science Specialist salaries,"Madison, Wisconsin Area","$79,500 ","$44,900 ","$141,000 "
Data Science Specialist salaries,Greater Memphis Area,"$71,900 ","$38,600 ","$134,000 "
Data Science Specialist salaries,"Rochester, New York Area","$74,100 ","$41,800 ","$131,000 "
Data Science Specialist salaries,"West Palm Beach, Florida Area","$73,300 ","$39,200 ","$137,000 "
Data Science Specialist salaries,"Des Moines, Iowa Area","$75,700 ","$42,500 ","$135,000 "
Data Science Specialist salaries,"Providence, Rhode Island Area","$84,000 ","$45,900 ","$154,000 "
Data Science Specialist salaries,"Tulsa, Oklahoma Area","$68,500 ","$35,900 ","$131,000 "
Data Science Specialist salaries,"Buffalo/Niagara, New York Area","$77,300 ","$43,000 ","$139,000 "
Data Science Specialist salaries,Greater New Orleans Area,"$69,300 ","$36,800 ","$130,000 "
Data Science Specialist salaries,"Birmingham, Alabama Area","$69,500 ","$37,500 ","$129,000 "
Data Science Specialist salaries,"Dayton, Ohio Area","$68,900 ","$37,800 ","$126,000 "
Data Science Specialist salaries,"Albany, New York Area","$78,700 ","$42,600 ","$145,000 "
Data Science Specialist salaries,"Wichita, Kansas Area","$68,200 ","$37,000 ","$126,000 "
Data Science Specialist salaries,"Knoxville, Tennessee Area","$61,800 ","$32,100 ","$119,000 "
Data Science Specialist salaries,"Charleston, South Carolina Area","$65,000 ","$35,500 ","$119,000 "
Data Science Specialist salaries,"Provo, Utah Area","$68,400 ","$36,300 ","$129,000 "
Data Science Specialist salaries,"Boise, Idaho Area","$68,100 ","$36,300 ","$128,000 "
Data Science Specialist salaries,Hawaiian Islands,"$87,200 ","$44,000 ","$173,000 "
Data Science Specialist salaries,"Tucson, Arizona Area","$67,300 ","$36,900 ","$123,000 "
Data Science Specialist salaries,"Harrisburg, Pennsylvania Area","$77,900 ","$43,100 ","$141,000 "
Data Science Specialist salaries,"Baton Rouge, Louisiana Area","$72,800 ","$37,300 ","$142,000 "
Data Science Specialist salaries,"Albuquerque, New Mexico Area","$68,600 ","$37,000 ","$127,000 "
Data Science Specialist salaries,"Toledo, Ohio Area","$72,900 ","$39,300 ","$135,000 "
Data Science Specialist salaries,"Little Rock, Arkansas Area","$64,800 ","$34,400 ","$122,000 "
Data Science Specialist salaries,"Colorado Springs, Colorado Area","$67,300 ","$36,000 ","$126,000 "
Data Science Specialist salaries,"Lexington, Kentucky Area","$67,400 ","$35,600 ","$128,000 "
Data Science Specialist salaries,"Syracuse, New York Area","$75,400 ","$41,700 ","$136,000 "
Data Science Specialist salaries,"Allentown, Pennsylvania Area","$78,100 ","$41,600 ","$147,000 "
Data Science Specialist salaries,"Columbia, South Carolina Area","$68,100 ","$36,500 ","$127,000 "
Data Science Specialist salaries,"Oshkosh, Wisconsin Area","$74,100 ","$42,600 ","$129,000 "
Data Science Specialist salaries,"Fort Wayne, Indiana Area","$69,500 ","$39,700 ","$122,000 "
Data Science Specialist salaries,"Spokane, Washington Area","$71,700 ","$39,200 ","$131,000 "
Data Science Specialist salaries,"Huntsville, Alabama Area","$62,900 ","$32,000 ","$124,000 "
Data Science Specialist salaries,"Fayetteville, Arkansas Area","$70,400 ","$37,800 ","$131,000 "
Data Science Specialist salaries,"Chattanooga, Tennessee Area","$63,100 ","$34,200 ","$116,000 "
Data Science Specialist salaries,"Lincoln, Nebraska Area","$68,700 ","$38,200 ","$124,000 "
Data Science Specialist salaries,"Odessa/Midland, Texas Area","$86,100 ","$45,100 ","$164,000 "
Data Science Specialist salaries,"Saginaw, Michigan Area","$69,500 ","$37,100 ","$130,000 "
Data Science Specialist salaries,"Fresno, California Area","$85,100 ","$45,400 ","$159,000 "
Data Science Specialist salaries,"Portland, Maine Area","$74,500 ","$40,400 ","$137,000 "
Data Science Specialist salaries,"Lansing, Michigan Area","$77,000 ","$41,800 ","$142,000 "
Data Science Specialist salaries,"Reno, Nevada Area","$78,100 ","$43,600 ","$140,000 "
Data Science Specialist salaries,"Melbourne, Florida Area","$61,100 ","$32,300 ","$116,000 "
Data Science Specialist salaries,"Jackson, Mississippi Area","$65,900 ","$34,300 ","$126,000 "
Data Science Specialist salaries,"Sioux Falls, South Dakota Area","$67,800 ","$39,100 ","$118,000 "
Data Science Specialist salaries,"Sarasota, Florida Area","$67,600 ","$36,900 ","$124,000 "
Data Science Specialist salaries,"Springfield, Massachusetts Area","$83,300 ","$45,500 ","$152,000 "
Data Science Specialist salaries,"Springfield, Missouri Area","$60,200 ","$31,900 ","$113,000 "
Data Science Specialist salaries,"Savannah, Georgia Area","$63,400 ","$33,500 ","$120,000 "
Data Science Specialist salaries,"Green Bay, Wisconsin Area","$71,600 ","$40,800 ","$126,000 "
Data Science Specialist salaries,"Anchorage, Alaska Area","$91,400 ","$48,900 ","$171,000 "
Data Science Specialist salaries,"Kalamazoo, Michigan Area","$74,600 ","$41,500 ","$134,000 "
Data Science Specialist salaries,"Lancaster, Pennsylvania Area","$72,900 ","$41,400 ","$128,000 "
Data Science Specialist salaries,"Fort Collins, Colorado Area","$69,100 ","$37,600 ","$127,000 "
Data Science Specialist salaries,"Burlington, Vermont Area","$75,200 ","$40,600 ","$139,000 "
Data Science Specialist salaries,"Scranton, Pennsylvania Area","$73,500 ","$40,100 ","$135,000 "
Data Science Specialist salaries,"Davenport, Iowa Area","$74,000 ","$39,700 ","$138,000 "
Data Science Specialist salaries,"Fort Myers, Florida Area","$67,100 ","$37,600 ","$120,000 "
Data Science Specialist salaries,"Fargo, North Dakota Area","$73,700 ","$42,200 ","$129,000 "
Data Science Specialist salaries,"El Paso, Texas Area","$70,000 ","$34,600 ","$142,000 "
Data Science Specialist salaries,"Roanoke, Virginia Area","$67,900 ","$36,600 ","$126,000 "
Data Science Specialist salaries,"Tallahassee, Florida Area","$62,300 ","$33,300 ","$116,000 "
Data Science Specialist salaries,"Peoria, Illinois Area","$74,000 ","$38,300 ","$143,000 "
Data Science Specialist salaries,"Cedar Rapids, Iowa Area","$72,700 ","$41,800 ","$126,000 "
Data Science Specialist salaries,"Evansville, Indiana Area","$70,000 ","$38,000 ","$129,000 "
Data Science Specialist salaries,"Charlottesville, Virginia Area","$70,700 ","$39,500 ","$127,000 "
Data Science Specialist salaries,"Lafayette, Louisiana Area","$68,400 ","$36,200 ","$129,000 "
Data Science Specialist salaries,"Johnson City, Tennessee Area","$61,400 ","$32,600 ","$116,000 "
Data Science Specialist salaries,"Augusta, Georgia Area","$67,900 ","$34,900 ","$132,000 "
Data Science Specialist salaries,"Wausau, Wisconsin Area","$68,300 ","$38,700 ","$121,000 "
Data Science Specialist salaries,"Mobile, Alabama Area","$65,300 ","$34,400 ","$124,000 "
Data Science Specialist salaries,"Bakersfield, California Area","$84,000 ","$44,000 ","$160,000 "
Data Science Specialist salaries,"Santa Barbara, California Area","$84,900 ","$45,700 ","$158,000 "
Data Science Specialist salaries,"Canton, Ohio Area","$69,500 ","$38,100 ","$127,000 "
Data Science Specialist salaries,"Rockford, Illinois Area","$73,400 ","$40,500 ","$133,000 "
Data Science Specialist salaries,"Richland/Kennewick/Pasco, Washington Area","$81,200 ","$43,200 ","$153,000 "
Data Science Specialist salaries,"St. Cloud, Minnesota Area","$75,900 ","$43,800 ","$131,000 "
Data Science Specialist salaries,"York, Pennsylvania Area","$74,900 ","$41,900 ","$134,000 "
Data Science Specialist salaries,"Eugene, Oregon Area","$81,000 ","$43,400 ","$151,000 "
Data Science Specialist salaries,"South Bend, Indiana Area","$70,000 ","$40,100 ","$122,000 "
Data Science Specialist salaries,"Columbia, Missouri Area","$64,900 ","$35,400 ","$119,000 "
Data Science Specialist salaries,"Asheville, North Carolina Area","$63,600 ","$35,400 ","$114,000 "
Data Science Specialist salaries,"Lakeland, Florida Area","$67,600 ","$37,700 ","$121,000 "
Data Science Specialist salaries,"Elkhart, Indiana Area","$71,900 ","$40,000 ","$129,000 "
Data Science Specialist salaries,"Pocatello, Idaho Area","$62,900 ","$33,800 ","$117,000 "
Data Science Specialist salaries,"Reading, Pennsylvania Area","$74,700 ","$41,100 ","$136,000 "
Data Science Specialist salaries,"Stockton, California Area","$89,200 ","$48,200 ","$165,000 "
Data Science Specialist salaries,"Gainesville, Florida Area","$66,600 ","$35,100 ","$126,000 "
Data Science Specialist salaries,"Rochester, Minnesota Area","$82,500 ","$44,600 ","$153,000 "
Data Science Specialist salaries,"Shreveport, Louisiana Area","$67,600 ","$35,400 ","$129,000 "
Data Science Specialist salaries,"Corpus Christi, Texas Area","$71,800 ","$36,400 ","$142,000 "
Data Science Specialist salaries,"Topeka, Kansas Area","$65,100 ","$35,600 ","$119,000 "
Data Science Specialist salaries,"Ithaca, New York Area","$77,600 ","$43,100 ","$140,000 "
Data Science Specialist salaries,"Bismarck, North Dakota Area","$87,400 ","$46,900 ","$163,000 "
Data Science Specialist salaries,"Daytona Beach, Florida Area","$61,700 ","$34,600 ","$110,000 "
Data Science Specialist salaries,"Urbana-Champaign, Illinois Area","$71,600 ","$38,600 ","$133,000 "
Data Science Specialist salaries,"Amarillo, Texas Area","$69,800 ","$37,500 ","$130,000 "
Data Science Specialist salaries,"Hickory/Lenoir, North Carolina Area","$66,400 ","$36,500 ","$121,000 "
Data Science Specialist salaries,"Wilmington, North Carolina Area","$66,000 ","$34,900 ","$125,000 "
Data Science Specialist salaries,"Pensacola, Florida Area","$64,200 ","$35,200 ","$117,000 "
Data Science Specialist salaries,"Montgomery, Alabama Area","$67,000 ","$35,500 ","$126,000 "
Data Science Specialist salaries,"Macon, Georgia Area","$62,500 ","$33,200 ","$118,000 "
Data Science Specialist salaries,"Duluth, Minnesota Area","$77,100 ","$42,800 ","$139,000 "
Data Science Specialist salaries,"Beaumont/Port Arthur, Texas Area","$76,200 ","$36,800 ","$158,000 "
Data Science Specialist salaries,"Lubbock, Texas Area","$68,100 ","$35,000 ","$133,000 "
Data Science Specialist salaries,"Clarksville, Tennessee Area","$66,500 ","$35,000 ","$126,000 "
Data Science Specialist salaries,"Grand Junction, Colorado Area","$76,100 ","$41,400 ","$140,000 "
Data Science Specialist salaries,"Youngstown, Ohio Area","$69,700 ","$37,000 ","$131,000 "
Data Science Specialist salaries,"Lafayette, Indiana Area","$73,600 ","$40,100 ","$135,000 "
Data Science Specialist salaries,"Great Falls, Montana Area","$70,900 ","$40,400 ","$125,000 "
Data Science Specialist salaries,"Fayetteville, North Carolina Area","$63,600 ","$34,200 ","$118,000 "
Data Science Specialist salaries,"Modesto, California Area","$90,400 ","$46,600 ","$175,000 "
Data Science Specialist salaries,"La Crosse, Wisconsin Area","$68,600 ","$39,500 ","$119,000 "
Data Science Specialist salaries,"Tyler, Texas Area","$64,500 ","$34,300 ","$121,000 "
Data Science Specialist salaries,"Naples, Florida Area","$74,300 ","$40,000 ","$138,000 "
Data Science Specialist salaries,"Bryan/College Station, Texas Area","$69,000 ","$37,200 ","$128,000 "
Data Science Specialist salaries,"New London/Norwich, Connecticut Area","$88,800 ","$50,600 ","$156,000 "
Data Science Specialist salaries,"Fort Pierce, Florida Area","$67,300 ","$35,900 ","$126,000 "
Data Science Specialist salaries,"Charleston, West Virginia Area","$68,000 ","$34,500 ","$134,000 "
Data Science Specialist salaries,"Salinas, California Area","$103,000 ","$53,800 ","$195,000 "
Data Science Specialist salaries,"Lewiston/Auburn, Maine Area","$70,100 ","$35,100 ","$140,000 "
Data Science Specialist salaries,"Waterloo, Iowa Area","$69,900 ","$39,400 ","$124,000 "
Data Science Specialist salaries,"Athens, Georgia Area","$68,900 ","$36,400 ","$130,000 "
Data Science Specialist salaries,"Columbus, Georgia Area","$65,000 ","$35,100 ","$120,000 "
Data Science Specialist salaries,"Tuscaloosa, Alabama Area","$65,200 ","$35,500 ","$120,000 "
Data Science Specialist salaries,"Iowa City, Iowa Area","$70,900 ","$40,200 ","$125,000 "
Data Science Specialist salaries,"Dover, Delaware Area","$70,900 ","$38,700 ","$130,000 "
Data Science Specialist salaries,"Flagstaff, Arizona Area","$62,400 ","$33,800 ","$115,000 "
Data Science Specialist salaries,"McAllen, Texas Area","$70,000 ","$36,200 ","$135,000 "
Data Science Specialist salaries,"Sheboygan, Wisconsin Area","$76,900 ","$44,900 ","$132,000 "
Data Science Specialist salaries,"Bloomington/Normal, Illinois Area","$78,000 ","$40,800 ","$149,000 "
Data Science Specialist salaries,"Bangor, Maine Area","$67,000 ","$35,900 ","$125,000 "
Data Science Specialist salaries,"Utica, New York Area","$73,700 ","$39,300 ","$138,000 "
Data Science Specialist salaries,"Springfield, Illinois Area","$68,600 ","$35,400 ","$133,000 "
Data Science Specialist salaries,"Lawrence, Kansas Area","$70,900 ","$40,000 ","$126,000 "
Data Science Specialist salaries,"Greenville, North Carolina Area","$67,900 ","$37,500 ","$123,000 "
Data Science Specialist salaries,"Medford, Oregon Area","$79,800 ","$43,700 ","$146,000 "
Data Science Specialist salaries,"Joplin, Missouri Area","$59,700 ","$32,600 ","$109,000 "
Data Science Specialist salaries,"Huntington, West Virginia Area","$65,600 ","$34,400 ","$125,000 "
Data Science Specialist salaries,"Eau Claire, Wisconsin Area","$74,500 ","$41,300 ","$134,000 "
Data Science Specialist salaries,"Missoula, Montana Area","$69,400 ","$38,800 ","$124,000 "
Data Science Specialist salaries,"Billings, Montana Area","$76,300 ","$42,400 ","$137,000 "
Data Science Specialist salaries,"Sioux City, Iowa Area","$69,600 ","$40,100 ","$121,000 "
Data Science Specialist salaries,"State College, Pennsylvania Area","$72,800 ","$39,800 ","$133,000 "
Data Science Specialist salaries,"Erie, Pennsylvania Area","$66,100 ","$34,300 ","$127,000 "
Data Science Specialist salaries,"San Luis Obispo, California Area","$78,200 ","$41,200 ","$148,000 "
Data Science Specialist salaries,"Killeen/Temple, Texas Area","$62,000 ","$33,400 ","$115,000 "
Data Science Specialist salaries,"Lake Charles, Louisiana Area","$74,600 ","$36,400 ","$153,000 "
Data Science Specialist salaries,"Bellingham, Washington Area","$77,800 ","$42,400 ","$143,000 "
Data Science Specialist salaries,"Destin/Fort Walton Beach, Florida Area","$59,100 ","$32,400 ","$108,000 "
Data Science Specialist salaries,"Longview, Texas Area","$66,700 ","$35,800 ","$124,000 "
Data Science Specialist salaries,"Lynchburg, Virginia Area","$60,300 ","$31,900 ","$114,000 "
Data Science Specialist salaries,"Yakima, Washington Area","$81,200 ","$45,500 ","$145,000 "
Data Science Specialist salaries,"Jackson, Tennessee Area","$62,700 ","$33,800 ","$116,000 "
Data Science Specialist salaries,"Myrtle Beach, South Carolina Area","$60,200 ","$33,100 ","$109,000 "
Data Science Specialist salaries,"Janesville/Beloit, Wisconsin Area","$73,700 ","$43,300 ","$126,000 "
Data Science Specialist salaries,"Fort Smith, Arkansas Area","$66,000 ","$35,800 ","$122,000 "
Data Science Specialist salaries,"Lima, Ohio Area","$71,600 ","$39,900 ","$128,000 "
Data Science Specialist salaries,"Waco, Texas Area","$64,300 ","$33,800 ","$122,000 "
Data Science Specialist salaries,"Biloxi, Mississippi Area","$61,500 ","$33,000 ","$115,000 "
Data Science Specialist salaries,"Bloomington, Indiana Area","$64,500 ","$34,700 ","$120,000 "
Data Science Specialist salaries,"Florence, Alabama Area","$68,300 ","$36,900 ","$127,000 "
Data Science Specialist salaries,"Visalia, California Area","$83,700 ","$44,700 ","$157,000 "
Data Science Specialist salaries,"Santa Fe, New Mexico Area","$67,500 ","$32,500 ","$140,000 "
Data Science Specialist salaries,"Glens Falls, New York Area","$75,400 ","$42,600 ","$133,000 "
Data Science Specialist salaries,"Casper, Wyoming Area","$81,500 ","$44,500 ","$149,000 "
Data Science Specialist salaries,"Ocala, Florida Area","$63,800 ","$34,000 ","$120,000 "
Data Science Specialist salaries,"Jonesboro, Arkansas Area","$64,100 ","$33,900 ","$121,000 "
Data Science Specialist salaries,"Dubuque, Iowa Area","$67,800 ","$38,500 ","$120,000 "
Data Science Specialist salaries,"Terre Haute, Indiana Area","$67,000 ","$35,600 ","$126,000 "
Data Science Specialist salaries,"Albany, Georgia Area","$64,800 ","$36,200 ","$116,000 "
Data Science Specialist salaries,"Barnstable/Yarmouth, Massachusetts Area","$88,900 ","$46,000 ","$172,000 "
Data Science Specialist salaries,"Redding, California Area","$77,800 ","$41,300 ","$147,000 "
Data Science Specialist salaries,"Grand Forks, North Dakota Area","$72,800 ","$43,200 ","$123,000 "
Data Science Specialist salaries,"Mansfield, Ohio Area","$67,900 ","$37,500 ","$123,000 "
Data Science Specialist salaries,"Bend, Oregon Area","$72,400 ","$35,900 ","$146,000 "
Data Science Specialist salaries,"Monroe, Louisiana Area","$69,000 ","$38,900 ","$123,000 "
Data Science Specialist salaries,"Sherman/Denison, Texas Area","$64,400 ","$35,100 ","$118,000 "
Data Science Specialist salaries,"Rocky Mount, North Carolina Area","$66,200 ","$36,600 ","$120,000 "
Data Science Specialist salaries,"Johnstown, Pennsylvania Area","$73,500 ","$36,900 ","$146,000 "
Data Science Specialist salaries,"Decatur, Illinois Area","$72,500 ","$39,600 ","$133,000 "
Data Science Specialist salaries,"Rapid City, South Dakota Area","$66,900 ","$39,100 ","$115,000 "
Data Science Specialist salaries,"Cheyenne, Wyoming Area","$74,300 ","$42,600 ","$130,000 "
Data Science Specialist salaries,"Chico, California Area","$81,700 ","$44,600 ","$150,000 "
Data Science Specialist salaries,"Benton Harbor, Michigan Area","$69,300 ","$39,400 ","$122,000 "
Data Science Specialist salaries,"Panama City, Florida Area","$61,000 ","$34,500 ","$108,000 "
Data Science Specialist salaries,"Abilene, Texas Area","$62,900 ","$33,400 ","$118,000 "
Data Science Specialist salaries,"Williamsport, Pennsylvania Area","$72,300 ","$39,900 ","$131,000 "
Data Science Specialist salaries,"Hattiesburg, Mississippi Area","$62,800 ","$33,900 ","$116,000 "
Data Science Specialist salaries,"Houma, Louisiana","$73,100 ","$39,200 ","$136,000 "
Data Science Specialist salaries,"Florence, South Carolina Area","$68,200 ","$37,000 ","$126,000 "
Data Science Specialist salaries,"Parkersburg, West Virginia Area","$68,300 ","$34,300 ","$136,000 "
Data Science Specialist salaries,"Decatur, Alabama Area","$57,500 ","$29,500 ","$112,000 "
Data Science Specialist salaries,"Pueblo, Colorado Area","$74,100 ","$40,300 ","$136,000 "
Data Science Specialist salaries,"Auburn, Alabama Area","$66,700 ","$35,500 ","$125,000 "
Data Science Specialist salaries,"Dothan, Alabama Area","$66,300 ","$35,400 ","$124,000 "
Data Science Specialist salaries,"Wheeling, West Virginia Area","$63,100 ","$34,200 ","$116,000 "
Data Science Specialist salaries,"Jacksonville, North Carolina Area","$60,100 ","$30,700 ","$118,000 "
Data Science Specialist salaries,"Jackson, Michigan Area","$77,800 ","$41,100 ","$147,000 "
Data Science Specialist salaries,"Sharon, Pennsylvania Area","$68,900 ","$40,300 ","$118,000 "
Data Science Specialist salaries,"Las Cruces, New Mexico Area","$68,000 ","$38,400 ","$120,000 "
Data Science Specialist salaries,"Kokomo, Indiana Area","$69,200 ","$38,200 ","$125,000 "
Data Science Specialist salaries,"Brownsville, Texas Area","$69,000 ","$35,700 ","$133,000 "
Data Science Specialist salaries,"Alexandria, Louisiana Area","$66,600 ","$35,100 ","$126,000 "
Data Science Specialist salaries,"Texarkana, Texas Area","$64,200 ","$34,000 ","$121,000 "
Data Science Specialist salaries,"Elmira, New York Area","$71,700 ","$40,000 ","$128,000 "
Data Science Specialist salaries,"Owensboro, Kentucky Area","$68,500 ","$37,600 ","$125,000 "
Data Science Specialist salaries,"Muncie, Indiana Area","$66,900 ","$40,600 ","$110,000 "
Data Science Specialist salaries,"Victoria, Texas Area","$70,500 ","$35,400 ","$140,000 "
Data Science Specialist salaries,"Bowling Green Area, KY","$68,200 ","$38,000 ","$123,000 "
