,state,openings,st
0,Alabama,33474,AL
1,Alaska,5440,AK
2,Arizona,57242,AZ
3,Arkansas,18036,AR
4,California,310250,CA
5,Colorado,62027,CO
6,Connecticut,28020,CT
7,Delaware,7971,DE
8,District of Columbia,72182,DC
9,Florida,176265,FL
10,Georgia,86304,GA
11,Hawaii,11667,HI
12,Idaho,10846,ID
13,Illinois,112230,IL
14,Indiana,60099,IN
15,Iowa,28679,IA
16,Kansas,26161,KS
17,Kentucky,34598,KY
18,Louisiana,30098,LA
19,Maine,10848,ME
20,Maryland,57202,MD
21,Massachusetts,82313,MA
22,Michigan,74862,MI
23,Minnesota,58594,MN
24,Mississippi,15751,MS
25,Missouri,53115,MO
26,Montana,6860,MT
27,Nebraska,17384,NE
28,Nevada,22900,NV
29,New Hampshire,14502,NH
30,New Jersey,71440,NJ
31,New Mexico,15261,NM
32,New York,150840,NY
33,North Carolina,89234,NC
34,North Dakota,7309,ND
35,Ohio,106538,OH
36,Oklahoma,29026,OK
37,Oregon,31266,OR
38,Pennsylvania,111673,PA
39,Rhode Island,8496,RI
40,South Carolina,41729,SC
41,South Dakota,6651,SD
42,Tennessee,59981,TN
43,Texas,235217,TX
44,Utah,27809,UT
45,Vermont,5800,VT
46,Virgin Island,46,
47,Virginia,89197,VA
48,Washington,60052,WA
49,West Virginia,11946,WV
50,Wisconsin,54938,WI
51,Wyoming,4911,WY