state,openings
Alabama,"33,474"
Alaska,"5,440"
Arizona,"57,242"
Arkansas,"18,036"
California,"310,250"
Colorado,"62,027"
Connecticut,"28,020"
Delaware,"7,971"
District of Columbia,"72,182"
Florida,"176,265"
Georgia,"86,304"
Hawaii,"11,667"
Idaho,"10,846"
Illinois,"112,230"
Indiana,"60,099"
Iowa,"28,679"
Kansas,"26,161"
Kentucky,"34,598"
Louisiana,"30,098"
Maine,"10,848"
Maryland,"57,202"
Massachusetts,"82,313"
Michigan,"74,862"
Minnesota,"58,594"
Mississippi,"15,751"
Missouri,"53,115"
Montana,"6,860"
Nebraska,"17,384"
Nevada,"22,900"
New Hampshire,"14,502"
New Jersey,"71,440"
New Mexico,"15,261"
New York,"150,840"
North Carolina,"89,234"
North Dakota,"7,309"
Ohio,"106,538"
Oklahoma,"29,026"
Oregon,"31,266"
Pennsylvania,"111,673"
Rhode Island,"8,496"
South Carolina,"41,729"
South Dakota,"6,651"
Tennessee,"59,981"
Texas,"235,217"
Utah,"27,809"
Vermont,"5,800"
Virgin Island,46
Virginia,"89,197"
Washington,"60,052"
West Virginia,"11,946"
Wisconsin,"54,938"
Wyoming,"4,911"